Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764273348390,800,802,800,1400,800,800,800,800,800,800,806,800,800,800,799,800,799,800,800,799,1099,800,800,800,799,799,800,800,800,800,800,800,25.71428680419922,14.705883026123047,10.810811042785645,18.91891860961914,8.333333969116211,13.51351261138916,8.333333969116211,16.216215133666992,15.789472579956055,13.51351261138916,18.421052932739258,11.111111640930176,13.51351261138916,10.810811042785645,10.810811042785645,10.810811042785645,13.1578950881958,16.666667938232422,13.51351261138916,11.111111640930176,10.810811042785645,13.88888931274414,11.111111640930176,13.51351261138916,11.111111640930176,29.7297306060791,13.1578950881958,13.51351261138916,10.810811042785645,18.91891860961914,13.51351261138916,11.111111640930176,30229.21307373047,41026.49822998047,0,404326326272,8589930496,11477307392,1048576
200,1764273348390,800,802,800,1400,800,800,800,800,800,800,806,800,800,800,799,800,799,800,800,799,1099,800,800,800,799,799,800,800,800,800,800,800,25.71428680419922,14.705883026123047,10.810811042785645,18.91891860961914,8.333333969116211,13.51351261138916,8.333333969116211,16.216215133666992,15.789472579956055,13.51351261138916,18.421052932739258,11.111111640930176,13.51351261138916,10.810811042785645,10.810811042785645,10.810811042785645,13.1578950881958,16.666667938232422,13.51351261138916,11.111111640930176,10.810811042785645,13.88888931274414,11.111111640930176,13.51351261138916,11.111111640930176,29.7297306060791,13.1578950881958,13.51351261138916,10.810811042785645,18.91891860961914,13.51351261138916,11.111111640930176,30229.221130371094,41026.52471923828,0,404326326272,8589930496,11477307392,1048576
199,1764273348591,800,802,800,1400,800,800,800,800,800,800,806,800,800,800,799,800,799,800,800,799,1099,800,800,800,799,799,800,800,800,800,800,800,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,4.761904716491699,68.42105102539063,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,8.69565200805664,0,0,0,0,0,0,0,4.761904716491699,0,0,30230.020568847656,41031.38391113281,0,404326326272,8589930496,11480858624,1048576
199,1764273348791,800,802,800,1400,800,800,800,800,800,800,806,800,800,800,799,800,799,800,800,799,1099,800,800,800,799,799,800,800,800,800,800,800,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,30230.531677246094,41035.49639892578,0,404326326272,8589930496,11480858624,1048576
199,1764273348991,800,802,800,1400,800,800,800,800,800,800,806,800,800,800,799,800,799,800,800,799,1099,800,800,800,799,799,800,800,800,800,800,800,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,4.761904716491699,0,0,0,0,0,0,0,5,0,5,0,4.761904716491699,0,0,0,5,0,30231.095642089844,41039.734802246094,0,404326326272,8589930496,11480854528,1048576
199,1764273349191,800,802,800,1400,800,800,800,800,800,800,806,800,800,800,799,800,799,800,800,799,1099,800,800,800,799,799,800,800,800,800,800,800,9.523809432983398,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,4.761904716491699,0,0,0,5,0,0,0,0,0,9.523809432983398,0,5,5,0,4.761904716491699,5,0,0,0,0,4.761904716491699,0,30231.73602294922,41044.04150390625,0,404326326272,8589930496,11480326144,1048576
199,1764273349391,800,802,800,1400,800,800,800,800,800,800,806,800,800,800,799,800,799,800,800,799,1099,800,800,800,799,799,800,800,800,800,800,800,0,0,0,5,4.761904716491699,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,4.761904716491699,0,5,0,0,9.523809432983398,30232.275451660156,41048.197265625,0,404326326272,8589930496,11480322048,1048576
199,1764273349591,800,802,800,1400,800,800,800,800,800,800,806,800,800,800,799,800,799,800,800,799,1099,800,800,800,799,799,800,800,800,800,800,800,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30232.78448486328,41052.344482421875,0,404326326272,8589930496,11480567808,1048576
199,1764273349791,800,802,800,1400,800,800,800,800,800,800,806,800,800,800,799,800,799,800,800,799,1099,800,800,800,799,799,800,800,800,800,800,800,5,0,5,0,0,4.761904716491699,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,30233.355041503906,41056.63311767578,0,404326326272,8589930496,11480567808,1048576
199,1764273349992,800,802,800,1400,800,800,800,800,800,800,806,800,800,800,799,800,799,800,800,799,1099,800,800,800,799,799,800,800,800,800,800,800,5,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,5,0,0,0,0,0,0,30233.775451660156,41060.62139892578,0,404326326272,8589930496,11480047616,1048576
