Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764314037,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764314038,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764314039,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764314040,100,,Aggregated,0.000000,0.000000,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,1,0,2939.535422003246,2939.535422003246,2939.535422003246,2939.535422003246,36510.0
1764314041,100,,Aggregated,0.000000,0.000000,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,1,0,2939.535422003246,2939.535422003246,2939.535422003246,2939.535422003246,36510.0
1764314042,100,,Aggregated,0.000000,0.000000,4300,4300,4400,4400,4400,4400,4400,4400,4400,4400,4400,3,0,4300.0,3874.7942370003634,2939.535422003246,4403.498831998149,17787.666666666668
1764314043,100,,Aggregated,0.250000,0.000000,5200,5600,5600,5700,5800,5800,5800,5800,5800,5800,5800,9,0,5200.0,4912.048859778831,2939.535422003246,5784.222957998281,30674.88888888889
1764314044,100,,Aggregated,0.200000,0.000000,5700,6200,6200,6400,6700,6900,6900,6900,6900,6900,6900,14,0,5600.0,5479.073764357184,2939.535422003246,6927.018586000486,55747.857142857145
1764314045,100,,Aggregated,0.500000,0.000000,6200,6900,7000,7100,7400,7900,7900,7900,7900,7900,7900,21,0,6200.0,6101.401546238257,2939.535422003246,7889.9694879946765,55282.42857142857
1764314046,100,,Aggregated,1.285714,0.000000,7100,7900,8100,8200,8600,8800,8800,8800,8800,8800,8800,35,0,7100.0,6900.704503657679,2939.535422003246,8829.026758001419,53779.28571428572
1764314047,100,,Aggregated,2.125000,0.000000,8000,8400,8800,8800,9300,9700,9900,9900,9900,9900,9900,51,0,8000.0,7570.770977667017,2939.535422003246,9908.024737000233,64530.1568627451
1764314048,100,,Aggregated,2.666667,0.000000,8100,8700,9000,9200,9700,9900,10000,10000,10000,10000,10000,55,0,8100.0,7746.110481782075,2939.535422003246,10236.539160003304,70031.94545454545
1764314049,100,,Aggregated,3.700000,0.000000,8300,9000,9400,9900,10000,11000,11000,12000,12000,12000,12000,64,1,8200.0,8092.585442578184,2939.535422003246,11865.683048999927,72687.640625
1764314050,100,,Aggregated,5.100000,0.000000,8600,9400,10000,10000,12000,12000,12000,12000,12000,12000,12000,72,1,8400.0,8509.246193527864,2939.535422003246,12413.967319000221,80058.75
1764314051,100,,Aggregated,5.700000,0.000000,8800,9900,11000,11000,12000,13000,13000,13000,13000,13000,13000,81,2,8800.0,8901.766120642009,2939.535422003246,13221.08656400087,82568.82716049382
1764314052,100,,Aggregated,6.500000,0.100000,9000,10000,12000,12000,13000,13000,14000,14000,14000,14000,14000,95,3,9000.0,9199.406600747516,2939.535422003246,13768.466974004696,79826.91578947369
1764314053,100,,Aggregated,7.300000,0.100000,8800,10000,12000,12000,13000,13000,14000,14000,15000,15000,15000,101,3,8800.0,9209.528020732792,2939.535422003246,14593.259385001147,81856.62376237624
1764314054,100,,Aggregated,8.300000,0.200000,8800,11000,12000,12000,13000,15000,16000,16000,16000,16000,16000,113,3,8800.0,9377.713900239172,2939.535422003246,15982.233824994182,91427.88495575222
1764314055,100,,Aggregated,9.300000,0.300000,8800,10000,12000,12000,13000,15000,16000,16000,17000,17000,17000,127,3,8800.0,9217.982914126213,2939.535422003246,16627.17196500307,87803.94488188977
1764314056,100,,Aggregated,9.300000,0.300000,8700,10000,12000,12000,14000,15000,17000,17000,17000,17000,17000,140,3,8700.0,9172.460467378814,2939.535422003246,17413.952552997216,90130.05
1764314057,100,,Aggregated,9.900000,0.300000,8600,9900,11000,12000,13000,15000,17000,17000,19000,19000,19000,153,3,8600.0,9083.460861601436,2939.535422003246,18580.203299999994,91264.522875817
1764314058,100,,Aggregated,10.500000,0.300000,8700,9900,12000,12000,13000,15000,17000,17000,19000,19000,19000,160,3,8600.0,9055.439218806441,2939.535422003246,18580.203299999994,91475.775
1764314059,100,,Aggregated,10.500000,0.300000,8600,9900,11000,12000,13000,15000,17000,17000,19000,19000,19000,169,3,8600.0,8984.116208301986,2939.535422003246,18580.203299999994,93439.81065088758
1764314060,100,,Aggregated,10.200000,0.300000,8600,9900,11000,12000,13000,15000,17000,17000,19000,19000,19000,176,3,8500.0,8902.345927216173,2939.535422003246,18580.203299999994,94091.11363636363
1764314061,100,,Aggregated,10.400000,0.300000,8400,9800,11000,12000,13000,15000,17000,17000,19000,19000,19000,183,4,8400.0,8852.236688257084,2939.535422003246,18580.203299999994,95416.13114754099
1764314062,100,,Aggregated,10.400000,0.200000,8400,9700,11000,12000,13000,15000,17000,17000,19000,19000,19000,194,4,8300.0,8777.69476452597,2939.535422003246,18580.203299999994,99917.61340206186
1764314063,100,,Aggregated,10.200000,0.200000,8300,9500,11000,12000,13000,15000,16000,17000,19000,19000,19000,208,4,8300.0,8732.571277211717,2939.535422003246,18580.203299999994,98899.28846153847
